DEPARTAMENTO,MUNICIPIO,TOTAL,URBANO,RURAL,AREA_SQ_KM,POPULATION_DENSITY
AHUACHAPÁN,Ahuachapán,110511,57703,34083,43.708610696262625,2528.3576448575936
AHUACHAPÁN,Apaneca,8383,4295,1563,95.56428757689245,87.72105367556802
AHUACHAPÁN,Atiquizaya,33587,17349,11011,75.87945476302646,442.6362854727026
AHUACHAPÁN,Concepción de Ataco,12786,6510,3066,63.8792635777333,200.1588509930299
AHUACHAPÁN,El Refugio,8171,4275,3325,24.041677639819287,339.8681291053788
AHUACHAPÁN,Guaymango,19037,9550,671,24.03950683025824,791.9047647033406
AHUACHAPÁN,Jujutla,28599,14618,3545,15.227525095137953,1878.112156855448
AHUACHAPÁN,San Francisco Menéndez,42607,21838,6548,87.95585311974416,484.4134698118875
AHUACHAPÁN,San Lorenzo,9194,4537,576,64.1003510568888,143.43135175407016
AHUACHAPÁN,San Pedro Puxtla,7773,3893,951,73.7265320016441,105.43015911594298
AHUACHAPÁN,Tacuba,29858,15042,2579,11.85260448662222,2519.1087776277427
AHUACHAPÁN,Turín,8997,4734,3387,97.29188669457949,92.47430906796525
SANTA ANA,Candelaria de la Frontera,22686,11660,4224,84.91983767203796,267.14605941209834
SANTA ANA,Chalchuapa,74038,38503,25374,29.110519961044854,2543.3417231666162
SANTA ANA,Coatepeque,36768,18831,6960,26.364247048639054,1394.6159710977977
SANTA ANA,El Congo,24219,12731,7823,26.506405886809045,913.7036572752636
SANTA ANA,El Porvenir,8232,4148,479,37.381801866358394,220.21410389552025
SANTA ANA,Masahuat,3393,1735,248,57.228078846901404,59.289077466274456
SANTA ANA,Metapán,59004,31173,10428,48.87505167779042,1207.2416902796306
SANTA ANA,San Antonio Pajonal,3279,1672,719,36.21062261782377,90.55353824228348
SANTA ANA,San Sebastián Salitrillo,18566,9835,9282,65.06676052501416,285.3377031558612
SANTA ANA,Santa Ana,245421,127856,107225,22.554447458683764,10881.268559097847
SANTA ANA,Santa Rosa Guachipilín,4930,2606,240,36.29301836816963,135.83879825007332
SANTA ANA,Santiago de la Frontera,5196,2682,753,42.97256589643225,120.9143529507367
SANTA ANA,Texistepeque,17923,9254,1666,51.046298579533236,351.11262713935815
SONSONATE,Acajutla,52359,26798,13091,80.66583652537122,649.085192137466
SONSONATE,Armenia,34912,18114,12650,27.970640394252378,1248.165916400469
SONSONATE,Caluco,9139,4440,815,56.28109945722505,162.38133384273797
SONSONATE,Cuisnahuat,12676,6280,1526,63.31731119758382,200.1980147331922
SONSONATE,Izalco,70959,36539,20748,14.180537144799796,5003.971237155968
SONSONATE,Juayúa,24465,12628,7236,64.67903667112945,378.2523868497929
SONSONATE,Nahuizalco,49081,25385,17423,25.347171131856236,1936.3502043159037
SONSONATE,Nahulingo,10417,5305,3823,15.854643368675156,657.0314927790434
SONSONATE,Salcoatitán,5484,2803,1041,95.39969835279999,57.48445849083803
SONSONATE,San Antonio del Monte,26902,14336,10749,96.90688297671034,277.60670009854067
SONSONATE,San Julián,18648,9383,4838,82.7557613304815,225.33778555344358
SONSONATE,Santa Catarina Masahuat,10076,5130,2242,37.41523922560336,269.3020333037177
SONSONATE,Santa Isabel Ishuatán,10241,5122,439,18.79049026057455,545.0097287502526
SONSONATE,Santo Domingo de Guzmán,7055,3657,1223,71.58097238609412,98.5597116779397
SONSONATE,Sonsonate,71541,37424,26186,49.61372443656412,1441.9598772809727
SONSONATE,Sonzacate,25005,13364,13364,20.983441136030095,1191.65392548816
CHALATENANGO,Agua Caliente,8261,4441,1093,54.56592191001432,151.39485801455658
CHALATENANGO,Arcatao,2946,1461,480,13.094966900369656,224.9719317669171
CHALATENANGO,Azacualpa,1136,586,279,91.83883618709038,12.369494727544092
CHALATENANGO,Cancasque,1751,865,317,33.290198344001524,52.598064508543494
CHALATENANGO,Chalatenango,29271,15111,8741,69.62700559185838,420.3972259209538
CHALATENANGO,Citalá,4164,2200,747,38.053996848046985,109.42345994895686
CHALATENANGO,Comalapa,2996,1606,430,56.80612190600297,52.74079446855178
CHALATENANGO,Concepción Quezaltepeque,6457,3408,1587,59.203925140895166,109.0637146884003
CHALATENANGO,Dulce Nombre de Maria,5051,2674,1117,26.636900997297435,189.6241608778916
CHALATENANGO,El Carrizal,2464,1312,201,97.26261649881027,25.3334743470544
CHALATENANGO,El Paraíso,10483,5411,1536,79.76195410250031,131.4285754148968
CHALATENANGO,La Laguna,3923,2005,244,94.55490474077702,41.489122227502996
CHALATENANGO,La Palma,12235,6454,1593,90.5344615384884,135.14190941312003
CHALATENANGO,La Reina,9525,5022,1115,63.810998092997664,149.26893928407665
CHALATENANGO,Las Flores,1583,774,291,92.96868115208052,17.027239500262336
CHALATENANGO,Las Vueltas,940,487,158,17.964325184672756,52.32592876920377
CHALATENANGO,Nombre de Jesús,4484,2366,443,27.638457617723066,162.23770740103276
CHALATENANGO,Nueva Concepción,28625,15134,5319,14.070456001948425,2034.4045705438484
CHALATENANGO,Nueva Trinidad,1673,815,116,39.27972976869379,42.59194271070042
CHALATENANGO,Ojos de Agua,3667,2024,443,44.98095607205338,81.52338945677286
CHALATENANGO,Potonico,1586,828,405,34.42141285965063,46.075970398621735
CHALATENANGO,San Antonio de la Cruz,1854,940,61,84.58637582367363,21.91842340975568
CHALATENANGO,San Antonio los Ranchos,1619,827,320,42.10779940242303,38.448933997411345
CHALATENANGO,San Fernando,2593,1321,314,35.28410587186427,73.48917978583869
CHALATENANGO,San Francisco Lempa,862,436,305,58.84264748424236,14.649238891415234
CHALATENANGO,San Francisco Morazán,3919,1932,382,22.683180247728636,172.7711880432827
CHALATENANGO,San Ignacio,8611,4556,685,82.19772826786357,104.75958620095587
CHALATENANGO,San Isidro Labrador,2592,1349,592,16.709557931179376,155.1208003632119
CHALATENANGO,San Luís del Carmen,1173,602,146,98.81982429404655,11.870087893595535
CHALATENANGO,San Miguel de Mercedes,2487,1251,543,79.50202923669917,31.2822203895642
CHALATENANGO,San Rafael,4264,2268,879,27.884411338075516,152.91698104372773
CHALATENANGO,Santa Rita,5985,3104,223,10.496990541124216,570.1634174626029
CHALATENANGO,Tejutla,13608,7043,2870,83.39152856093507,163.1820430064007
LA LIBERTAD,Antiguo Cuscatlán,33698,18422,18422,73.61716094628554,457.74653038559325
LA LIBERTAD,Chiltiupán,10897,5413,418,75.61064512368885,144.11991832861594
LA LIBERTAD,Ciudad Arce,60314,31241,21664,79.41433120173512,759.4850839552521
LA LIBERTAD,Colón,96989,51208,48297,16.664018656068134,5820.264727361059
LA LIBERTAD,Comasagua,11870,5904,1507,42.261915568984534,280.867533811251
LA LIBERTAD,Huizucar,14465,7437,2532,20.428215357261674,708.0892651182124
LA LIBERTAD,Jayaque,11058,5649,3569,87.67930832880342,126.1186956280693
LA LIBERTAD,Jicalápa,5116,2573,207,66.09683141448022,77.4015923383463
LA LIBERTAD,La Libertad,35997,18598,12056,39.78082223673843,904.8832572081934
LA LIBERTAD,Nuevo Cuscatlán,6897,3617,2153,15.720251525742128,438.73343811999877
LA LIBERTAD,Quezaltepeque,52643,27728,19376,37.9884089544096,1385.764801657726
LA LIBERTAD,Sacacoyo,12299,6325,5119,39.266498982407235,313.2186550553025
LA LIBERTAD,San José Villanueva,13576,6993,5578,75.66455605042577,179.42350697138076
LA LIBERTAD,San Juán Opico,74280,38730,23873,67.38017242196918,1102.4014532765004
LA LIBERTAD,San Matías,7314,3745,620,89.84914683186939,81.40311018964213
LA LIBERTAD,San Pablo Tacachico,20366,10438,2934,52.49934326457544,387.92866221894633
LA LIBERTAD,Santa Tecla,121908,66128,59525,20.763482134447152,5871.269530352593
LA LIBERTAD,Talnique,8254,4186,2503,74.19203085006956,111.25184073583371
LA LIBERTAD,Tamanique,13544,6819,1997,78.47065437552077,172.59955467154998
LA LIBERTAD,Teotepeque,12320,6254,653,60.51494778125466,203.58606347201194
LA LIBERTAD,Tepecoyo,14322,7337,4320,79.38704619591049,180.40726650360972
LA LIBERTAD,Zaragoza,22525,11841,9559,54.44160367279517,413.74607800644003
SAN SALVADOR,Aguilares,21267,11423,10374,57.045954644379464,372.80469987007854
SAN SALVADOR,Apopa,131286,70114,70114,48.47869165226947,2708.117639430024
SAN SALVADOR,Ayutuxtepeque,34710,17634,17634,12.287721406968567,2824.7710743438074
SAN SALVADOR,Cuscatancingo,66400,35618,35618,19.7102284293974,3368.8092574800285
SAN SALVADOR,Delgado,120200,63903,59780,12.828626711806082,9369.67009020388
SAN SALVADOR,El Paisnal,14551,7467,3496,67.27693701374024,216.28511412504096
SAN SALVADOR,Guazapa,22906,11790,7406,38.2920382968694,598.1922357440216
SAN SALVADOR,Ilopango,103862,56136,56136,55.77136220482325,1862.2819291836797
SAN SALVADOR,Mejicanos,140751,76242,76242,91.68098265334837,1535.2256915939536
SAN SALVADOR,Nejapa,29458,15168,8658,32.43630062339874,908.1800154099487
SAN SALVADOR,Panchimalco,41260,21303,8485,46.93446307320668,879.0981572675955
SAN SALVADOR,Rosario de Mora,11377,5831,2620,77.99960246887439,145.8597177407407
SAN SALVADOR,San Marcos,63209,33592,33592,30.59183489424602,2066.204927507925
SAN SALVADOR,San Martín,72758,38708,35177,16.92819188459137,4298.037291639331
SAN SALVADOR,San Salvador,316090,171873,171873,36.077630762239124,8761.384639781767
SAN SALVADOR,Santiago Texacuangos,19428,10077,6482,24.5099158528604,792.6587800884955
SAN SALVADOR,Santo Tomas,25344,13193,9806,93.67278871083158,270.5588287569517
SAN SALVADOR,Soyapango,241403,130169,130169,82.73083416079753,2917.932623896958
SAN SALVADOR,Tonacatepeque,90896,48118,41632,67.00633808593811,1356.5283911414845
CUSCATLÁN,Candelaria,10090,5223,1935,88.43145311689459,114.09967431681085
CUSCATLÁN,Cojutepeque,50315,26744,21961,82.33048692092031,611.1344883497206
CUSCATLÁN,El Carmen,13345,6931,1120,26.791305299743225,498.10936237316895
CUSCATLÁN,El Rosario,4220,2218,232,90.330309864098,46.717430797580484
CUSCATLÁN,Monte San Juán,10224,5339,866,58.540801772408564,174.6474200976655
