REGION_ID,DEPARTMENT,MUNICIPALITY,TOTAL_POPULATION,URBAN_POPULATION,RURAL_POPULATION
1,AHUACHAPÁN,Ahuachapán,110511,57703,34083
101,AHUACHAPÁN,Apaneca,8383,4295,1563
201,AHUACHAPÁN,Atiquizaya,33587,17349,11011
2,AHUACHAPÁN,Concepción de Ataco,12786,6510,3066
3,AHUACHAPÁN,El Refugio,8171,4275,3325
102,AHUACHAPÁN,Guaymango,19037,9550,671
103,AHUACHAPÁN,Jujutla,28599,14618,3545
202,AHUACHAPÁN,San Francisco Menéndez,42607,21838,6548
104,AHUACHAPÁN,San Lorenzo,9194,4537,576
4,AHUACHAPÁN,San Pedro Puxtla,7773,3893,951
301,AHUACHAPÁN,Tacuba,29858,15042,2579
401,AHUACHAPÁN,Turín,8997,4734,3387
105,SANTA ANA,Candelaria de la Frontera,22686,11660,4224
106,SANTA ANA,Chalchuapa,74038,38503,25374
302,SANTA ANA,Coatepeque,36768,18831,6960
402,SANTA ANA,El Congo,24219,12731,7823
403,SANTA ANA,El Porvenir,8232,4148,479
404,SANTA ANA,Masahuat,3393,1735,248
203,SANTA ANA,Metapán,59004,31173,10428
5,SANTA ANA,San Antonio Pajonal,3279,1672,719
405,SANTA ANA,San Sebastián Salitrillo,18566,9835,9282
107,SANTA ANA,Santa Ana,245421,127856,107225
108,SANTA ANA,Santa Rosa Guachipilín,4930,2606,240
109,SANTA ANA,Santiago de la Frontera,5196,2682,753
303,SANTA ANA,Texistepeque,17923,9254,1666
406,SONSONATE,Acajutla,52359,26798,13091
6,SONSONATE,Armenia,34912,18114,12650
204,SONSONATE,Caluco,9139,4440,815
7,SONSONATE,Cuisnahuat,12676,6280,1526
110,SONSONATE,Izalco,70959,36539,20748
304,SONSONATE,Juayúa,24465,12628,7236
305,SONSONATE,Nahuizalco,49081,25385,17423
407,SONSONATE,Nahulingo,10417,5305,3823
205,SONSONATE,Salcoatitán,5484,2803,1041
206,SONSONATE,San Antonio del Monte,26902,14336,10749
408,SONSONATE,San Julián,18648,9383,4838
111,SONSONATE,Santa Catarina Masahuat,10076,5130,2242
306,SONSONATE,Santa Isabel Ishuatán,10241,5122,439
207,SONSONATE,Santo Domingo de Guzmán,7055,3657,1223
8,SONSONATE,Sonsonate,71541,37424,26186
112,SONSONATE,Sonzacate,25005,13364,13364
9,CHALATENANGO,Agua Caliente,8261,4441,1093
208,CHALATENANGO,Arcatao,2946,1461,480
113,CHALATENANGO,Azacualpa,1136,586,279
307,CHALATENANGO,Cancasque,1751,865,317
409,CHALATENANGO,Chalatenango,29271,15111,8741
209,CHALATENANGO,Citalá,4164,2200,747
114,CHALATENANGO,Comalapa,2996,1606,430
115,CHALATENANGO,Concepción Quezaltepeque,6457,3408,1587
410,CHALATENANGO,Dulce Nombre de Maria,5051,2674,1117
210,CHALATENANGO,El Carrizal,2464,1312,201
10,CHALATENANGO,El Paraíso,10483,5411,1536
